Year	Named Storms	Named Storm Days	Hurricanes	Hurricane Days	Intense Hurricanes	Intense Hurricane Days	ACE	HDP	PDI	NTC	Tropical Storms	Category 1	Category 2	Category 3	Category 4	Category 5
1992	6	38.75	4	16	1	3.5	75.13	54.45	0.63	65	2	1	2	0	0	1
1993	8	30	4	9.5	1	0.75	38.67	23.3	0.25	52	4	2	1	1	0	0
1994	7	27.75	3	7.25	0	0	31.53	15.5	0.18	35	4	2	1	0	0	0
1995	19	121.25	11	61.75	5	11.5	227.47	172.85	1.75	222	8	4	2	2	3	0
1996	13	79	9	45	6	13	166.18	136.48	1.38	192	4	3	0	4	2	0
1997	7	28.75	3	9.5	1	2.25	40.12	25.63	0.28	52	4	2	0	1	0	0
1998	14	88	10	48.5	3	9.5	181.77	149.11	1.53	169	4	3	4	1	1	1
1999	12	78.5	8	41	5	14.25	176.53	141.37	1.54	182	4	0	3	0	5	0
2000	14	67	8	32.75	3	5	115.57	85.38	0.85	130	6	4	1	1	2	0
2001	15	64.25	9	25.5	4	4.25	105.57	69.7	0.77	134	6	4	1	2	2	0
2002	12	53.5	4	10.75	2	3	65.13	32.15	0.43	82	8	1	1	1	1	0
2003	16	79.25	7	32.75	3	16.75	174.75	132.78	1.59	174	9	3	1	1	1	1
2004	14	90	9	45.5	6	22.25	224.75	186.02	2.12	229	5	2	1	2	3	1
2005	27	128.75	15	49.75	7	17.75	248.07	175.14	2.13	277	12	7	1	2	1	4
2006	10	52.75	5	21.25	2	2	77.5	51.7	1.33	85	5	3	0	2	0	0
2007	15	37.75	6	12.25	2	6	74	0	0	99	9	4	0	0	0	2
2008	16	88.25	8	30.5	5	7.5	146	0	0	162	8	2	1	1	4	0
2009	9	30.5	3	12.25	2	3.5	53	0	0	69	6	0	1	1	1	0
2010	19	89.75	12	38.5	5	11	166	0	0	196	7	3	4	1	4	0
2011	19	88.75	7	26	4	4.5	125	0	0	145	12	3	0	2	2	0
